date,action,price,position,pnl,capital,strength
2020-03-09,open_short,7923.64453125,-2.5240910191165384,0.0,100000.0,1.0
2020-03-12,take_profit,6854.166085379464,-2.5240910191165384,2699.4609403605336,102699.46094036053,
2020-04-29,open_long,8801.0380859375,2.3338033522308255,0.0,102699.46094036053,1.0
2020-05-07,take_profit,9630.774239676339,2.3338033522308255,1936.4410170628134,104635.90195742334,
2020-05-07,open_long,9951.5185546875,2.1029132666016346,0.0,104635.90195742334,1.0
2020-05-10,stop_loss,9189.372140066964,2.1029132666016346,-1602.7278063983956,103033.17415102494,
2020-06-01,open_long,10167.2685546875,2.0267621258715094,0.0,103033.17415102494,1.0
2020-06-11,stop_loss,9448.60825892857,2.0267621258715094,-1456.5534688118153,101576.62068221312,
2020-07-22,open_long,9525.36328125,2.132761086018829,0.0,101576.62068221312,1.0
2020-07-26,take_profit,9927.66127232143,2.132761086018829,858.0055003406948,102434.62618255381,
2020-07-26,open_long,9905.1669921875,2.068306900092589,0.0,102434.62618255381,1.0
2020-07-27,take_profit,10357.30043247768,2.068306900092589,935.1507143147786,103369.77689686859,
2020-07-27,open_long,10990.873046875,1.8810112073173184,0.0,103369.77689686859,1.0
2020-08-01,take_profit,11724.179268973214,1.8810112073173184,1379.3572221622628,104749.13411903084,
2020-08-01,open_long,11759.5927734375,1.7815095494741553,0.0,104749.13411903084,1.0
2020-08-02,stop_loss,11025.9208984375,1.7815095494741553,-1307.0434514931087,103442.09066753773,
2020-10-10,open_long,11296.361328125,1.831423193059412,0.0,103442.09066753773,1.0
2020-10-21,take_profit,12008.34779575893,1.831423193059412,1303.9485299692226,104746.03919750695,
2020-10-21,open_long,12823.689453125,1.633633434128139,0.0,104746.03919750695,1.0
2020-10-31,take_profit,13873.991420200893,1.633633434128139,1715.808409345731,106461.84760685268,
2020-11-04,open_long,14133.70703125,1.5064957462534454,0.0,106461.84760685268,1.0
2020-11-05,take_profit,15678.29771205357,1.5064957462534454,2326.9192903332923,108788.76689718597,
2020-11-05,open_long,15579.8486328125,1.3965317566445092,0.0,108788.76689718597,1.0
2020-11-17,take_profit,17372.97119140625,1.3965317566445092,2504.152596631827,111292.9194938178,
2020-11-17,open_long,17645.40625,1.2614378826649888,0.0,111292.9194938178,1.0
2020-12-16,take_profit,20064.872140066964,1.2614378826649888,3052.0059295462333,114344.92542336402,
2020-12-16,open_long,21310.59765625,1.0731273450684178,0.0,114344.92542336402,1.0
2020-12-17,take_profit,23532.113978794645,1.0731273450684178,2383.96991323849,116728.89533660251,
2020-12-17,open_long,22805.162109375,1.0237059028720195,0.0,116728.89533660251,1.0
2020-12-26,take_profit,25405.445172991072,1.0237059028720195,2661.9251213619123,119390.82045796442,
2020-12-26,open_long,26437.037109375,0.9032087821643714,0.0,119390.82045796442,1.0
2021-01-02,take_profit,30300.12890625,0.9032087821643714,3489.178437244642,122879.99889520906,
2021-01-02,open_long,32127.267578125,0.7649576709030576,0.0,122879.99889520906,1.0
2021-01-04,stop_loss,28928.877790178572,0.7649576709030576,-2446.6328028276234,120433.36609238145,
2021-01-06,open_long,36824.36328125,0.5318690365489468,0.0,120433.36609238145,1.0
2021-01-11,stop_loss,32295.678292410714,0.5318690365489468,-2408.667321847629,118024.69877053381,
2021-02-06,open_long,39266.01171875,0.4483206864593048,0.0,118024.69877053381,1.0
2021-02-09,take_profit,47163.79799107143,0.4483206864593048,3540.7409631160162,121565.43973364982,
2021-02-09,open_long,46481.10546875,0.38963438766324837,0.0,121565.43973364982,1.0
2021-02-19,take_profit,55841.06780133929,0.38963438766324837,3646.963192009498,125212.40292565932,
2021-02-19,open_long,55888.1328125,0.38517733341707283,0.0,125212.40292565932,1.0
2021-02-22,stop_loss,49386.58705357143,0.38517733341707283,-2504.2480585131866,122708.15486714614,
2021-03-13,open_long,61243.0859375,0.3585938232035934,0.0,122708.15486714614,1.0
2021-03-16,stop_loss,54399.23381696428,0.3585938232035934,-2454.163097342923,120253.99176980321,
2021-04-13,open_long,63503.45703125,0.37873211126325396,0.0,120253.99176980321,1.0
2021-04-18,stop_loss,59224.43415178572,0.37873211126325396,-1620.603369283276,118633.38840051994,
2021-05-15,open_short,46760.1875,-0.3194678277198294,0.0,118633.38840051994,1.0
2021-05-19,take_profit,35619.78041294643,-0.3194678277198294,3559.0016520155973,122192.39005253553,
