momentum_period,target_volatility,stop_loss_pct,total_return,annual_return,max_drawdown,sharpe_ratio,sortino_ratio,calmar_ratio,win_rate,profit_factor,total_trades,avg_trade_return,max_consecutive_losses,max_drawdown_duration,final_capital
10,0.08,0.02,3.71,0.61,-13.95,-0.238,-0.233,0.043,41.12,1.03,321,0.13,11,1308,103706.05
10,0.08,0.03,4.56,0.74,-13.49,-0.222,-0.218,0.055,43.33,1.04,300,0.14,10,1308,104555.27
10,0.08,0.05,4.14,0.68,-13.56,-0.23,-0.225,0.05,43.77,1.04,281,0.15,12,1308,104137.26
10,0.08,0.08,4.08,0.67,-13.55,-0.231,-0.226,0.049,43.48,1.04,276,0.15,12,1308,104079.75
10,0.1,0.02,4.04,0.66,-17.23,-0.173,-0.169,0.038,41.16,1.03,328,0.13,11,1308,104042.13
10,0.1,0.03,5.11,0.83,-16.66,-0.156,-0.153,0.05,43.46,1.04,306,0.14,10,1308,105105.58
10,0.1,0.05,4.47,0.73,-16.75,-0.166,-0.162,0.044,44.44,1.03,288,0.15,10,1308,104466.68
10,0.1,0.08,4.39,0.72,-16.74,-0.167,-0.163,0.043,44.17,1.03,283,0.15,10,1308,104393.51
10,0.12,0.02,6.06,0.98,-20.47,-0.105,-0.103,0.048,40.24,1.04,333,0.13,11,1308,106062.38
10,0.12,0.03,7.36,1.19,-19.81,-0.089,-0.087,0.06,42.58,1.05,310,0.13,10,1308,107361.9
10,0.12,0.05,6.68,1.08,-19.91,-0.097,-0.095,0.054,43.49,1.04,292,0.14,13,1308,106680.22
10,0.12,0.08,6.59,1.07,-19.9,-0.098,-0.096,0.054,43.21,1.04,287,0.14,13,1308,106589.27
10,0.15,0.02,6.05,0.98,-25.83,-0.064,-0.063,0.038,41.18,1.03,340,0.13,11,1308,106053.39
10,0.15,0.03,7.13,1.15,-25.44,-0.053,-0.052,0.045,43.22,1.04,317,0.13,10,1308,107130.9
10,0.15,0.05,6.25,1.01,-25.57,-0.061,-0.06,0.04,44.15,1.03,299,0.14,13,1308,106254.65
10,0.15,0.08,6.14,0.99,-25.55,-0.062,-0.061,0.039,43.88,1.03,294,0.14,13,1308,106138.98
14,0.08,0.02,37.23,5.4,-9.34,0.293,0.298,0.578,47.69,1.33,325,0.46,7,451,137233.6
14,0.08,0.03,37.69,5.46,-9.38,0.299,0.304,0.582,50.33,1.34,302,0.49,7,451,137690.71
14,0.08,0.05,36.82,5.35,-9.38,0.286,0.291,0.57,51.8,1.34,278,0.54,7,451,136815.89
14,0.08,0.08,37.35,5.41,-9.38,0.293,0.298,0.577,50.56,1.37,269,0.56,7,451,137345.2
14,0.1,0.02,47.55,6.68,-11.81,0.355,0.362,0.565,47.43,1.32,331,0.46,7,451,147553.42
14,0.1,0.03,48.76,6.82,-11.52,0.367,0.377,0.592,49.84,1.34,307,0.49,7,451,148762.92
14,0.1,0.05,47.67,6.69,-11.53,0.355,0.364,0.58,51.59,1.34,283,0.53,6,451,147667.45
14,0.1,0.08,48.41,6.78,-11.53,0.362,0.372,0.588,50.36,1.36,274,0.55,6,451,148407.98
14,0.12,0.02,61.3,8.27,-14.06,0.419,0.428,0.588,47.75,1.33,333,0.45,7,451,161300.01
14,0.12,0.03,62.75,8.43,-13.72,0.43,0.443,0.614,50.32,1.34,310,0.48,7,451,162746.94
14,0.12,0.05,61.46,8.28,-13.72,0.419,0.431,0.604,52.1,1.34,286,0.52,6,451,161462.43
14,0.12,0.08,62.28,8.38,-13.72,0.425,0.437,0.61,51.08,1.37,278,0.54,6,451,162284.03
14,0.15,0.02,78.32,10.09,-17.55,0.455,0.465,0.575,47.35,1.31,340,0.44,7,457,178319.98
14,0.15,0.03,80.07,10.26,-17.16,0.465,0.479,0.598,50.16,1.32,317,0.47,7,457,180065.14
14,0.15,0.05,79.19,10.18,-17.16,0.459,0.471,0.593,51.88,1.33,293,0.51,6,457,179189.26
14,0.15,0.08,79.74,10.23,-17.16,0.462,0.475,0.596,50.88,1.34,285,0.53,6,457,179739.8
20,0.08,0.02,27.88,4.17,-9.85,0.158,0.172,0.423,47.09,1.22,327,0.34,8,691,127883.18
20,0.08,0.03,27.96,4.18,-9.99,0.159,0.173,0.419,50.34,1.24,298,0.37,7,691,127959.33
20,0.08,0.05,26.96,4.05,-9.99,0.145,0.157,0.405,51.66,1.23,271,0.41,6,691,126963.31
20,0.08,0.08,27.22,4.08,-9.98,0.148,0.161,0.409,52.92,1.25,257,0.43,6,691,127217.5
20,0.1,0.02,32.89,4.84,-12.64,0.195,0.211,0.383,47.76,1.2,335,0.33,8,691,132888.8
20,0.1,0.03,33.17,4.87,-12.71,0.198,0.214,0.383,50.33,1.22,306,0.36,7,691,133169.74
20,0.1,0.05,31.81,4.7,-12.72,0.183,0.198,0.369,51.8,1.22,278,0.4,6,691,131807.33
20,0.1,0.08,32.29,4.76,-12.7,0.188,0.203,0.375,53.03,1.23,264,0.42,6,691,132285.12
20,0.12,0.02,42.26,6.03,-15.34,0.257,0.28,0.393,47.79,1.21,339,0.33,8,502,142259.05
20,0.12,0.03,42.25,6.03,-15.43,0.257,0.278,0.391,50.16,1.22,311,0.35,7,502,142250.23
20,0.12,0.05,41.19,5.9,-15.44,0.247,0.268,0.382,51.76,1.22,284,0.39,6,564,141186.91
20,0.12,0.08,40.19,5.77,-15.42,0.239,0.259,0.374,52.77,1.23,271,0.41,6,564,140188.38
20,0.15,0.02,52.09,7.21,-19.02,0.29,0.316,0.379,47.43,1.19,350,0.32,8,691,152090.13
20,0.15,0.03,52.19,7.23,-19.13,0.291,0.316,0.378,50.31,1.2,320,0.34,7,691,152192.63
20,0.15,0.05,50.66,7.05,-19.14,0.281,0.305,0.368,51.72,1.21,290,0.38,6,691,150664.77
20,0.15,0.08,49.16,6.87,-19.13,0.272,0.294,0.359,52.88,1.21,278,0.4,6,691,149155.27
30,0.08,0.02,43.45,6.21,-9.43,0.351,0.405,0.658,46.28,1.33,296,0.69,7,400,143447.12
30,0.08,0.03,43.57,6.22,-9.49,0.352,0.406,0.655,48.89,1.35,270,0.75,6,399,143571.21
30,0.08,0.05,43.62,6.23,-9.52,0.352,0.406,0.654,53.53,1.38,241,0.85,6,399,143624.63
30,0.08,0.08,42.65,6.11,-9.6,0.341,0.391,0.636,56.0,1.39,225,0.9,6,400,142651.21
30,0.1,0.02,55.36,7.63,-11.01,0.405,0.465,0.693,46.71,1.32,304,0.67,7,399,155356.66
30,0.1,0.03,55.68,7.67,-11.11,0.407,0.468,0.69,49.47,1.34,281,0.72,6,383,155679.13
30,0.1,0.05,53.64,7.43,-11.14,0.389,0.445,0.667,53.39,1.36,251,0.81,6,400,153635.84
30,0.1,0.08,52.6,7.31,-11.52,0.379,0.432,0.635,56.22,1.38,233,0.87,6,400,152602.72
30,0.12,0.02,70.74,9.34,-13.25,0.461,0.531,0.705,46.69,1.31,317,0.64,8,342,170744.34
30,0.12,0.03,72.64,9.54,-13.17,0.473,0.545,0.724,49.31,1.34,290,0.7,7,342,172641.51
30,0.12,0.05,68.75,9.13,-13.15,0.446,0.509,0.694,53.88,1.37,258,0.8,7,342,168748.14
30,0.12,0.08,65.68,8.79,-13.69,0.425,0.483,0.642,56.2,1.38,242,0.84,7,343,165684.59
30,0.15,0.02,95.86,11.87,-16.32,0.516,0.596,0.727,46.65,1.3,328,0.62,6,342,195856.8
30,0.15,0.03,97.47,12.03,-16.44,0.523,0.604,0.731,49.5,1.34,299,0.68,6,343,197469.81
30,0.15,0.05,87.7,11.08,-16.46,0.477,0.545,0.673,52.81,1.33,267,0.77,5,343,187698.75
30,0.15,0.08,86.96,11.01,-16.89,0.474,0.539,0.652,54.98,1.34,251,0.81,5,348,186962.29
50,0.08,0.02,18.5,2.9,-8.87,0.031,0.033,0.327,40.3,1.16,263,0.46,8,484,118504.56
50,0.08,0.03,18.1,2.84,-8.77,0.025,0.027,0.324,44.17,1.17,240,0.49,8,484,118100.48
50,0.08,0.05,17.1,2.69,-8.83,0.011,0.011,0.305,47.14,1.17,210,0.58,7,484,117100.26
